,Survived
867,0
845,0
289,1
142,1
476,0
376,1
684,0
292,0
45,0
430,1
384,0
623,0
461,0
485,0
26,0
362,0
268,1
63,0
664,1
793,0
866,1
33,0
462,0
747,1
429,1
118,0
15,1
716,1
42,0
478,0
174,0
392,0
499,0
657,0
93,0
449,1
426,1
556,1
607,1
153,0
116,0
594,0
881,0
750,1
756,0
18,0
23,1
276,0
30,0
648,0
0,0
72,0
803,1
468,0
427,1
534,0
115,0
309,1
487,0
625,0
603,0
500,0
38,0
24,0
883,0
326,0
199,0
205,0
320,0
431,1
741,0
437,1
553,1
825,0
311,1
258,1
863,0
456,0
264,0
746,0
719,0
669,1
308,0
295,0
563,0
379,0
542,0
282,0
779,1
148,0
378,0
561,0
859,0
105,0
71,0
114,0
234,0
347,1
830,1
697,1
792,0
610,0
402,0
701,1
541,0
49,0
243,0
643,1
302,0
278,0
179,0
201,0
157,0
571,1
794,0
838,1
231,0
619,0
450,0
808,0
711,0
518,1
708,1
789,0
453,1
298,1
730,1
538,0
297,0
352,0
32,1
545,0
386,0
204,1
125,1
175,0
655,0
598,0
235,0
110,0
479,1
95,0
528,0
778,0
20,0
763,1
878,0
28,1
444,1
277,0
734,0
284,0
618,1
256,1
184,1
398,0
876,0
211,1
581,1
89,0
404,0
191,0
558,1
593,0
724,1
474,0
771,0
698,0
27,0
223,0
216,1
248,1
189,0
391,1
70,0
578,0
533,1
870,0
613,0
844,0
219,0
233,1
414,1
288,1
743,0
626,0
366,1
514,0
564,0
554,1
739,0
710,1
333,0
624,0
104,0
128,1
685,0
871,1
241,1
6,0
585,1
403,0
733,0
549,1
589,0
590,0
61,1
526,1
445,1
62,0
37,0
744,1
629,0
165,1
650,0
833,0
550,1
696,0
400,1
781,1
12,0
835,1
687,0
439,0
286,1
144,0
639,0
413,0
692,1
674,0
477,0
25,1
81,1
361,0
133,1
1,1
663,0
19,1
29,0
334,1
501,0
856,1
583,0
350,0
83,0
495,0
330,1
53,1
890,0
173,0
436,0
488,0
570,1
759,1
815,0
466,0
839,1
758,0
423,0
872,0
149,0
516,1
218,1
854,0
494,0
464,0
143,0
126,0
152,0
238,0
592,0
535,1
818,0
247,1
573,1
108,0
383,1
337,1
868,0
604,1
44,1
601,0
405,0
712,1
506,1
324,0
791,0
168,0
137,0
422,0
220,1
225,0
454,0
519,0
787,0
627,1
579,1
355,0
689,1
136,1
728,0
761,0
673,1
812,0
776,0
807,0
293,0
842,1
10,1
855,1
540,1
251,0
207,1
393,1
636,0
69,0
194,1
649,1
572,1
840,0
112,0
325,1
612,1
312,0
432,1
502,0
341,1
611,0
788,1
507,1
622,1
441,0
281,0
407,1
187,1
442,0
634,0
705,0
459,0
92,0
410,0
651,1
574,0
873,0
503,0
686,0
475,0
805,0
557,0
658,0
130,0
811,0
562,0
609,1
197,0
215,1
752,0
884,0
797,1
481,0
575,0
471,0
440,1
736,0
681,1
257,1
428,0
850,0
497,0
635,1
490,0
665,0
460,1
76,0
552,0
806,0
786,1
65,1
819,0
206,0
8,1
77,0
772,0
58,1
472,1
424,0
377,0
480,0
496,1
631,0
857,1
319,1
364,0
412,1
141,1
88,1
647,1
323,1
321,0
60,0
486,1
385,0
419,0
433,0
301,1
869,1
296,0
315,1
829,1
46,0
86,0
109,1
360,0
645,1
16,0
493,0
193,1
849,1
628,0
401,0
539,1
438,0
140,0
198,1
467,0
14,0
87,0
265,0
262,0
222,0
755,1
259,1
3,1
354,0
489,1
615,1
473,1
661,0
139,0
67,0
515,0
342,0
56,1
304,0
745,0
51,0
513,1
465,0
530,1
780,1
305,1
434,0
537,1
695,0
357,0
186,1
555,0
129,0
359,1
244,0
255,1
782,0
390,1
720,1
154,0
371,0
889,1
582,0
847,0
158,0
765,1
843,0
271,1
484,1
146,1
717,1
790,0
394,1
826,0
418,0
576,1
837,0
882,0
680,0
588,0
290,1
411,0
630,1
213,0
358,1
180,0
380,1
99,0
135,0
176,0
504,1
559,1
596,1
887,1
39,1
340,1
2,1
451,0
823,1
817,0
68,1
208,1
608,1
420,0
253,0
846,0
339,0
409,0
111,0
224,1
544,0
73,0
47,1
638,0
113,0
96,0
737,1
214,0
569,1
123,1
106,1
595,0
17,1
742,1
98,1
322,1
382,0
365,0
510,1
